Iteration,Method,Time_ms,Residual
1,Jacobi,2.26647,11.1636
1,GaussSeidel,1.57722,7.44489
1,SymmetricGS,2.07269,2.48022
1,SymmetricGS_Chebyshev,29.8253,2.48022
2,Jacobi,1.29016,5.57688
2,GaussSeidel,1.00264,2.47913
2,SymmetricGS,1.75611,0.275337
2,SymmetricGS_Chebyshev,29.7825,20.9488
3,Jacobi,1.94398,2.78651
3,GaussSeidel,1.59902,0.825632
3,SymmetricGS,2.66196,0.030572
3,SymmetricGS_Chebyshev,30.4512,6.76636
4,Jacobi,2.59442,1.39243
4,GaussSeidel,1.94666,0.27498
4,SymmetricGS,3.60995,0.00339492
4,SymmetricGS_Chebyshev,31.4437,17.2806
5,Jacobi,3.26392,0.695853
5,GaussSeidel,2.48325,0.0915859
5,SymmetricGS,4.37578,0.00037702
5,SymmetricGS_Chebyshev,32.2294,9.42506
6,Jacobi,3.84742,0.347761
6,GaussSeidel,2.92653,0.0305047
6,SymmetricGS,5.30666,4.18717e-05
6,SymmetricGS_Chebyshev,33.4317,12.616
7,Jacobi,4.47743,0.173804
7,GaussSeidel,3.45077,0.0101604
7,SymmetricGS,6.16295,4.65044e-06
7,SymmetricGS_Chebyshev,34.6484,10.2963
8,Jacobi,5.33866,0.0868664
8,GaussSeidel,3.96247,0.0033842
8,SymmetricGS,7.02921,5.16511e-07
8,SymmetricGS_Chebyshev,35.0509,8.11571
9,Jacobi,5.80673,0.0434164
9,GaussSeidel,4.42985,0.00112722
9,SymmetricGS,7.9559,5.73688e-08
9,SymmetricGS_Chebyshev,36.1647,9.78972
10,Jacobi,6.68381,0.0217003
10,GaussSeidel,4.95116,0.000375456
10,SymmetricGS,8.81912,6.37207e-09
10,SymmetricGS_Chebyshev,36.6677,4.43628
11,Jacobi,7.10765,0.0108463
11,GaussSeidel,5.4125,0.000125059
11,SymmetricGS,9.65698,7.0777e-10
11,SymmetricGS_Chebyshev,37.4287,8.47686
12,Jacobi,7.68879,0.00542136
12,GaussSeidel,5.91829,4.16551e-05
12,SymmetricGS,10.5229,7.86165e-11
12,SymmetricGS_Chebyshev,38.4919,1.77507
13,Jacobi,8.39828,0.00270981
13,GaussSeidel,6.42628,1.38747e-05
13,SymmetricGS,11.4605,8.73351e-12
13,SymmetricGS_Chebyshev,39.4554,6.84006
14,Jacobi,8.98034,0.00135449
14,GaussSeidel,7.05441,4.62149e-06
14,SymmetricGS,12.4427,9.72821e-13
14,SymmetricGS_Chebyshev,40.7119,0.292704
15,Jacobi,9.69883,0.000677042
15,GaussSeidel,7.38715,1.53936e-06
15,SymmetricGS,13.2739,1.08326e-13
15,SymmetricGS_Chebyshev,43.5224,5.20112
16,Jacobi,10.3567,0.000338423
16,GaussSeidel,7.84787,5.12741e-07
16,SymmetricGS,14.0543,1.456e-14
16,SymmetricGS_Chebyshev,42.4294,1.05057
17,Jacobi,10.9164,0.000169164
17,GaussSeidel,8.40447,1.70788e-07
17,SymmetricGS,14.9284,4.7817e-15
17,SymmetricGS_Chebyshev,43.022,3.73906
18,Jacobi,11.698,8.4559e-05
18,GaussSeidel,8.85314,5.68873e-08
18,SymmetricGS,15.9381,5.66105e-16
18,SymmetricGS_Chebyshev,44.133,1.51439
19,Jacobi,12.3917,4.22683e-05
19,GaussSeidel,9.32747,1.89485e-08
19,SymmetricGS,16.9694,5.66105e-16
19,SymmetricGS_Chebyshev,44.7298,2.53153
20,Jacobi,12.7815,2.11287e-05
20,GaussSeidel,9.77048,6.31152e-09
20,SymmetricGS,17.9314,5.66105e-16
20,SymmetricGS_Chebyshev,45.8176,1.63349
21,Jacobi,13.4303,1.05617e-05
21,GaussSeidel,10.288,2.1023e-09
21,SymmetricGS,18.4488,5.66105e-16
21,SymmetricGS_Chebyshev,46.7216,1.59282
22,Jacobi,14.0916,5.27953e-06
22,GaussSeidel,11.0791,7.00249e-10
22,SymmetricGS,19.4309,5.66105e-16
22,SymmetricGS_Chebyshev,48.0463,1.54034
23,Jacobi,14.7878,2.63913e-06
23,GaussSeidel,11.3923,2.33246e-10
23,SymmetricGS,20.1531,5.66105e-16
23,SymmetricGS_Chebyshev,48.4715,0.901908
24,Jacobi,15.7242,1.31925e-06
24,GaussSeidel,11.8512,7.76916e-11
24,SymmetricGS,21.0302,5.66105e-16
24,SymmetricGS_Chebyshev,49.538,1.3352
25,Jacobi,16.0905,6.59474e-07
25,GaussSeidel,11.8124,7.76916e-11
25,SymmetricGS,21.9871,5.66105e-16
25,SymmetricGS_Chebyshev,50.1686,0.421341
26,Jacobi,16.8094,3.29662e-07
26,GaussSeidel,11.8502,7.76916e-11
26,SymmetricGS,22.862,5.66105e-16
26,SymmetricGS_Chebyshev,51.5869,1.08677
27,Jacobi,17.3418,1.64794e-07
27,GaussSeidel,11.8123,7.76916e-11
27,SymmetricGS,23.71,5.66105e-16
27,SymmetricGS_Chebyshev,51.8501,0.11146
28,Jacobi,18.3287,8.23791e-08
28,GaussSeidel,11.7324,7.76916e-11
28,SymmetricGS,24.6199,5.66105e-16
28,SymmetricGS_Chebyshev,52.9165,0.838422
29,Jacobi,18.7223,4.11807e-08
29,GaussSeidel,11.7825,7.76916e-11
29,SymmetricGS,25.4261,5.66105e-16
29,SymmetricGS_Chebyshev,53.8736,0.0905622
30,Jacobi,19.3099,2.0586e-08
30,GaussSeidel,11.8825,7.76916e-11
30,SymmetricGS,26.4204,5.66105e-16
30,SymmetricGS_Chebyshev,54.9084,0.614738
31,Jacobi,20.2705,1.02908e-08
31,GaussSeidel,11.7918,7.76916e-11
31,SymmetricGS,27.3463,5.66105e-16
31,SymmetricGS_Chebyshev,55.6532,0.184847
32,Jacobi,20.6803,5.14437e-09
32,GaussSeidel,11.8057,7.76916e-11
32,SymmetricGS,27.9418,5.66105e-16
32,SymmetricGS_Chebyshev,57.0078,0.427207
33,Jacobi,21.3168,2.57166e-09
33,GaussSeidel,11.8044,7.76916e-11
33,SymmetricGS,29.0839,5.66105e-16
33,SymmetricGS_Chebyshev,57.5502,0.221623
34,Jacobi,22.3193,1.28558e-09
34,GaussSeidel,11.9021,7.76916e-11
34,SymmetricGS,29.9253,5.66105e-16
34,SymmetricGS_Chebyshev,58.6006,0.278756
35,Jacobi,22.484,6.42662e-10
35,GaussSeidel,11.7465,7.76916e-11
35,SymmetricGS,31.0769,5.66105e-16
35,SymmetricGS_Chebyshev,59.446,0.220724
36,Jacobi,23.1844,3.21269e-10
36,GaussSeidel,11.8897,7.76916e-11
36,SymmetricGS,31.9467,5.66105e-16
36,SymmetricGS_Chebyshev,60.3093,0.167189
37,Jacobi,23.8722,1.60604e-10
37,GaussSeidel,11.7713,7.76916e-11
37,SymmetricGS,32.5414,5.66105e-16
37,SymmetricGS_Chebyshev,61.3894,0.198417
38,Jacobi,24.5487,8.02867e-11
38,GaussSeidel,11.8098,7.76916e-11
38,SymmetricGS,33.7762,5.66105e-16
38,SymmetricGS_Chebyshev,62.4226,0.0876651
39,Jacobi,25.2561,4.01358e-11
39,GaussSeidel,11.8416,7.76916e-11
39,SymmetricGS,34.3738,5.66105e-16
39,SymmetricGS_Chebyshev,63.0549,0.166153
40,Jacobi,25.7569,2.00643e-11
40,GaussSeidel,11.8276,7.76916e-11
40,SymmetricGS,35.1798,5.66105e-16
40,SymmetricGS_Chebyshev,64.1329,0.0345783
41,Jacobi,26.4664,1.00303e-11
41,GaussSeidel,11.7796,7.76916e-11
41,SymmetricGS,36.0562,5.66105e-16
41,SymmetricGS_Chebyshev,64.8438,0.131432
42,Jacobi,27.3814,5.01425e-12
42,GaussSeidel,11.7935,7.76916e-11
42,SymmetricGS,36.8468,5.66105e-16
42,SymmetricGS_Chebyshev,65.4451,0.00842347
43,Jacobi,28.6261,2.50675e-12
43,GaussSeidel,11.8272,7.76916e-11
43,SymmetricGS,37.9604,5.66105e-16
43,SymmetricGS_Chebyshev,66.4689,0.0987529
44,Jacobi,28.6465,1.25313e-12
44,GaussSeidel,11.9104,7.76916e-11
44,SymmetricGS,38.7394,5.66105e-16
44,SymmetricGS_Chebyshev,67.219,0.0208602
45,Jacobi,28.939,6.26424e-13
45,GaussSeidel,11.8665,7.76916e-11
45,SymmetricGS,39.5577,5.66105e-16
45,SymmetricGS_Chebyshev,69.0632,0.0704659
46,Jacobi,29.6863,3.1324e-13
46,GaussSeidel,11.8524,7.76916e-11
46,SymmetricGS,40.5063,5.66105e-16
46,SymmetricGS_Chebyshev,69.2905,0.029055
47,Jacobi,30.3241,1.56611e-13
47,GaussSeidel,11.8601,7.76916e-11
47,SymmetricGS,41.2507,5.66105e-16
47,SymmetricGS_Chebyshev,70.1903,0.0474685
48,Jacobi,31.2211,7.82988e-14
48,GaussSeidel,11.9068,7.76916e-11
48,SymmetricGS,42.0519,5.66105e-16
48,SymmetricGS_Chebyshev,71.6213,0.0310059
49,Jacobi,31.9622,3.91397e-14
49,GaussSeidel,11.7624,7.76916e-11
49,SymmetricGS,43.2091,5.66105e-16
49,SymmetricGS_Chebyshev,71.7769,0.0297472
50,Jacobi,32.5373,1.95825e-14
50,GaussSeidel,11.8172,7.76916e-11
50,SymmetricGS,44.0307,5.66105e-16
50,SymmetricGS_Chebyshev,74.5652,0.0290822
51,Jacobi,33.6261,9.80899e-15
51,GaussSeidel,11.8568,7.76916e-11
51,SymmetricGS,45.063,5.66105e-16
51,SymmetricGS_Chebyshev,73.7648,0.0167744
52,Jacobi,33.7638,7.15039e-15
52,GaussSeidel,11.8092,7.76916e-11
52,SymmetricGS,45.7643,5.66105e-16
52,SymmetricGS_Chebyshev,74.6221,0.0251271
53,Jacobi,34.1478,4.82532e-15
53,GaussSeidel,11.7858,7.76916e-11
53,SymmetricGS,46.838,5.66105e-16
53,SymmetricGS_Chebyshev,75.9061,0.00779075
54,Jacobi,34.8044,1.02358e-15
54,GaussSeidel,11.8588,7.76916e-11
54,SymmetricGS,47.6316,5.66105e-16
54,SymmetricGS_Chebyshev,76.5031,0.0204048
55,Jacobi,35.3472,7.1089e-16
55,GaussSeidel,11.7885,7.76916e-11
55,SymmetricGS,48.4538,5.66105e-16
55,SymmetricGS_Chebyshev,77.266,0.00206326
56,Jacobi,36.2688,6.56817e-16
56,GaussSeidel,11.8332,7.76916e-11
56,SymmetricGS,49.3531,5.66105e-16
56,SymmetricGS_Chebyshev,79.1209,0.0157125
57,Jacobi,36.7942,5.66105e-16
57,GaussSeidel,11.8081,7.76916e-11
57,SymmetricGS,50.1155,5.66105e-16
57,SymmetricGS_Chebyshev,79.856,0.00183193
58,Jacobi,37.8594,5.66105e-16
58,GaussSeidel,11.9407,7.76916e-11
58,SymmetricGS,51.1818,5.66105e-16
58,SymmetricGS_Chebyshev,80.1379,0.0115007
59,Jacobi,37.8904,5.66105e-16
59,GaussSeidel,11.7384,7.76916e-11
59,SymmetricGS,51.896,5.66105e-16
59,SymmetricGS_Chebyshev,81.776,0.00354082
60,Jacobi,39.0439,5.66105e-16
60,GaussSeidel,11.7476,7.76916e-11
60,SymmetricGS,53.0308,5.66105e-16
60,SymmetricGS_Chebyshev,81.974,0.00797779
61,Jacobi,39.4538,5.66105e-16
61,GaussSeidel,11.7982,7.76916e-11
61,SymmetricGS,53.8017,5.66105e-16
61,SymmetricGS_Chebyshev,82.8682,0.0042017
62,Jacobi,40.9787,5.66105e-16
62,GaussSeidel,11.8228,7.76916e-11
62,SymmetricGS,54.4641,5.66105e-16
62,SymmetricGS_Chebyshev,83.7656,0.00519405
63,Jacobi,40.6009,5.66105e-16
63,GaussSeidel,11.7907,7.76916e-11
63,SymmetricGS,55.403,5.66105e-16
63,SymmetricGS_Chebyshev,85.3947,0.00416597
64,Jacobi,41.2152,5.66105e-16
64,GaussSeidel,11.7838,7.76916e-11
64,SymmetricGS,56.2149,5.66105e-16
64,SymmetricGS_Chebyshev,85.9053,0.00310533
65,Jacobi,41.8363,5.66105e-16
65,GaussSeidel,11.842,7.76916e-11
65,SymmetricGS,57.207,5.66105e-16
65,SymmetricGS_Chebyshev,86.6685,0.00373492
66,Jacobi,42.7416,5.66105e-16
66,GaussSeidel,11.7298,7.76916e-11
66,SymmetricGS,57.8194,5.66105e-16
66,SymmetricGS_Chebyshev,87.2806,0.00161905
67,Jacobi,43.0546,5.66105e-16
67,GaussSeidel,11.7801,7.76916e-11
67,SymmetricGS,59.1389,5.66105e-16
67,SymmetricGS_Chebyshev,88.505,0.00312156
68,Jacobi,43.9955,5.66105e-16
68,GaussSeidel,11.9265,7.76916e-11
68,SymmetricGS,60.0491,5.66105e-16
68,SymmetricGS_Chebyshev,89.1214,0.000629249
69,Jacobi,44.4721,5.66105e-16
69,GaussSeidel,11.8156,7.76916e-11
69,SymmetricGS,60.6248,5.66105e-16
69,SymmetricGS_Chebyshev,90.1339,0.00246531
70,Jacobi,45.3113,5.66105e-16
70,GaussSeidel,11.8362,7.76916e-11
70,SymmetricGS,61.5303,5.66105e-16
70,SymmetricGS_Chebyshev,91.1041,0.000158825
71,Jacobi,45.768,5.66105e-16
71,GaussSeidel,11.7223,7.76916e-11
71,SymmetricGS,62.6159,5.66105e-16
71,SymmetricGS_Chebyshev,91.6332,0.0018496
72,Jacobi,47.026,5.66105e-16
72,GaussSeidel,11.7995,7.76916e-11
72,SymmetricGS,63.5166,5.66105e-16
72,SymmetricGS_Chebyshev,92.4117,0.000400958
73,Jacobi,47.2775,5.66105e-16
73,GaussSeidel,11.8328,7.76916e-11
73,SymmetricGS,64.1988,5.66105e-16
73,SymmetricGS_Chebyshev,93.4233,0.0013178
74,Jacobi,47.757,5.66105e-16
74,GaussSeidel,11.7757,7.76916e-11
74,SymmetricGS,65.1887,5.66105e-16
74,SymmetricGS_Chebyshev,94.4816,0.000551806
75,Jacobi,48.2415,5.66105e-16
75,GaussSeidel,11.8444,7.76916e-11
75,SymmetricGS,65.8729,5.66105e-16
75,SymmetricGS_Chebyshev,95.3748,0.000886195
76,Jacobi,49.8246,5.66105e-16
76,GaussSeidel,11.8124,7.76916e-11
76,SymmetricGS,66.839,5.66105e-16
76,SymmetricGS_Chebyshev,96.6058,0.000585897
77,Jacobi,50.0919,5.66105e-16
77,GaussSeidel,11.7882,7.76916e-11
77,SymmetricGS,67.9958,5.66105e-16
77,SymmetricGS_Chebyshev,97.4128,0.000554136
78,Jacobi,50.3448,5.66105e-16
78,GaussSeidel,11.7989,7.76916e-11
78,SymmetricGS,68.802,5.66105e-16
78,SymmetricGS_Chebyshev,98.284,0.000547949
79,Jacobi,50.8055,5.66105e-16
79,GaussSeidel,11.797,7.76916e-11
79,SymmetricGS,69.7754,5.66105e-16
79,SymmetricGS_Chebyshev,99.3092,0.000311471
80,Jacobi,51.5327,5.66105e-16
80,GaussSeidel,11.8257,7.76916e-11
80,SymmetricGS,70.653,5.66105e-16
80,SymmetricGS_Chebyshev,99.7805,0.000472465
81,Jacobi,52.1148,5.66105e-16
81,GaussSeidel,11.7864,7.76916e-11
81,SymmetricGS,71.2775,5.66105e-16
81,SymmetricGS_Chebyshev,100.553,0.000143853
82,Jacobi,53.0632,5.66105e-16
82,GaussSeidel,12.2579,7.76916e-11
82,SymmetricGS,72.1352,5.66105e-16
82,SymmetricGS_Chebyshev,102.113,0.000383046
83,Jacobi,53.455,5.66105e-16
83,GaussSeidel,11.7697,7.76916e-11
83,SymmetricGS,73.2988,5.66105e-16
83,SymmetricGS_Chebyshev,102.681,3.81768e-05
84,Jacobi,55.1678,5.66105e-16
84,GaussSeidel,11.8684,7.76916e-11
84,SymmetricGS,73.9796,5.66105e-16
84,SymmetricGS_Chebyshev,103.458,0.000294531
85,Jacobi,55.0616,5.66105e-16
85,GaussSeidel,11.745,7.76916e-11
85,SymmetricGS,74.7487,5.66105e-16
85,SymmetricGS_Chebyshev,104.36,3.67515e-05
86,Jacobi,55.7684,5.66105e-16
86,GaussSeidel,12.1515,7.76916e-11
86,SymmetricGS,76.2102,5.66105e-16
86,SymmetricGS_Chebyshev,106.266,0.000215273
87,Jacobi,56.3145,5.66105e-16
